,SongID,Lyrics
169,Girls & BoysBlur,"['[Verse 1]', 'Streets like a jungle, so call the police', 'Following the herd down to Greece on holiday', ""Love in the '90s is paranoid"", 'On sunny beaches, take your chances looking for', '', '[Chorus]', 'Girls who want boys who like boys to be girls', ""Who do boys like they're girls who do girls like they're boys"", 'Always should be someone you really love', '', '[Verse 2]', ""Avoiding all work 'cause there's none available"", 'Like battery thinkers, count your thoughts on one, two, three, four, five fingers', 'Nothing is wasted, only reproduced', ""You get nasty blisters, du bist sehr schön, but we haven't been introduced"", '', '[Chorus]', 'Girls who want boys who like boys to be girls', ""Who do boys like they're girls who do girls like they're boys"", 'Always should be someone you really love', 'Girls who want boys who like boys to be girls', ""Who do boys like they're girls who do girls like they're boys"", 'Always should be someone to really love', '', '[Bridge]', 'Oh, oh, oh, oh-oh, oh', 'Oh, oh, oh, oh-oh', '', '[Chorus]', 'Looking for girls who want boys who like boys to be girls', ""Who do boys like they're girls who do girls like they're boys"", 'Always should be someone you really love', 'Girls who want boys who like boys to be girls', ""Who do boys like they're girls who do girls like they're boys"", 'Always should be someone to really love', 'Girls who want boys who like boys to be girls', ""Who do boys like they're girls who do girls like they're boys"", 'Always should be someone you really love', 'Girls who want boys who like boys to be girls', ""Who do boys like they're girls who do girls like they're boys"", 'Always should be someone to really love', '', '[Bridge]', 'Oh, oh, oh, oh-oh, oh', 'Oh, oh, oh, oh-oh']"
170,Hey Pretty GirlKip Moore,"['[Verse 1]', ""Hey pretty girl, won't you look my way"", ""Love's in the air tonight"", ""You can bet you make this ol' boy's day"", ""Hey pretty girl, won't you look my way"", '', '[Verse 2]', 'Hey pretty girl, can I have this dance', 'And the next one after that', ""Gonna make you mine there's a real good chance"", 'Hey pretty girl, can I have this dance', '', '[Verse 3]', 'Hey pretty girl, it feels so right', ""Just like it's meant to be"", 'All wrapped up in my arms so tight', 'Hey pretty girl, it feels so right', '', '[Hook]', ""Life's a long and winding ride"", 'Better have the right one by your side', ""And happiness don't drag its feet"", 'Time moves faster than you think', '', '[Verse 4]', 'Hey pretty girl, wanna take you home', ""My momma's gonna love you"", ""She'll make me sleep on the couch, I know"", 'Hey pretty girl, wanna take you home', '', '[Verse 5]', ""Hey pretty girl, let's build some dreams"", 'And a house on a piece of land', ""We'll plant some roots and some apple trees"", ""Hey pretty girl, let's build some dreams"", '', '[Hook]', ""Life's a long and winding ride"", 'Better have the right one by your side', ""And happiness don't drag its feet"", 'Time moves faster than you think', '', '[Verse 6]', 'Hey pretty girl, you did so good', ""Our baby's got your eyes"", ""And a fighter's heart like I knew she would"", 'Hey pretty girl, you did so good', '', '[Verse 7]', 'Hey pretty girl, when I see the light', ""And it's my time to go"", ""I'm gonna thank the Lord for a real good life"", 'A pretty little girl and a beautiful wife']"
171,Love Like WoeThe Ready Set,"['[Intro]', '(J-J-J-J-J-R)', 'Wo-oh, oh-oh ooh', 'Wo-oh, oh-oh ooh', ""I kinda feel like it don't make"", ""Like-like-like it don't make"", ""Feel like it don't make s-s-s-s-sense"", '', '[Verse 1]', ""I'm thinking baby you and I are undeniable"", ""But I'm findin' out love's unreliable"", ""I'm giving all I got to make you stay"", 'Or am I just a roadblock in your way?', ""'Cause you're a pretty little windstorm"", 'Out on the boulevard', 'Something like a sunset', ""Oh, you're a shooting star"", 'And I might drive myself insane', ""If those lips aren't speaking my name"", '', '[Pre-Chorus]', ""'Cause I've got some intuition or maybe I'm superstitious"", ""But I think you're a pretty sweet pill that I'm swallowing down"", 'To counter this addiction', 'You got me on a mission', 'Tell me darling can I get a break some-', 'How could I say no?', '', '[Chorus]', ""She's got a love like woe!"", '(Wo-oh, oh-oh ooh)', ""Girl's got a love like woe!"", '(Wo-oh, oh-oh ooh, ba-da-dah)', ""I kinda feel like it don't make sense"", ""'Cause you're bringing me in and now you're kicking me out again"", 'Love so strong, then you moved on', ""Now I'm hung up in suspense"", ""Because you're bringing me in and then you're kicking me out again"", '', '[Verse 2]', ""It's like a hurricane, speed train"", ""She's a moving car"", 'Catch her in the fast lane', 'Oh, I gotta know', 'Can I keep up with her pace?', 'Kick it into gear when I see that face', ""You can take up all my time 'cause you're the only one"", 'That can make a storm cloud break', 'Pulling out the sun', ""And I can't get caught in the rain"", 'Can I get your lips to speak my name?', '', '[Pre-Chorus]', ""'Cause I've got some intuition or maybe I'm superstitious"", ""But I think you're a pretty sweet pill that I'm swallowing down"", 'To counter this addiction', 'You got me on a mission', 'Tell me darling can I get a break some-', 'How could I say no?', '', '[Chorus]', ""She's got a love like woe!"", '(Wo-oh, oh-oh ooh)', ""Girl's got a love like woe!"", '(Wo-oh, oh-oh ooh, ba-da-dah)', ""I kinda feel like it don't make sense"", ""'Cause you're bringing me in and now you're kicking me out again"", 'Love so strong, then you moved on', ""Now I'm hung up in suspense"", ""Because you're bringing me in and then you're kicking me out again"", '', '[Bridge]', ""'Cause we only have one life"", 'The timing and the moment all seem so right', ""So would you say you're mine?"", ""(We'll be just fine)"", ""Would you say you're mine?"", ""(We'll be just fine)"", '', '[Chorus]', ""She's got a love like woe"", '(Wo-oh, oh-oh ooh)', ""Girl's got a love like woe"", '(Wo-oh, oh-oh ooh, ba-da-dah)', ""I kinda feel like it don't make sense"", ""'Cause you're bringing me in and now you're kicking me out again"", 'Love so strong, then you moved on', ""Now I'm hung up in suspense"", ""Because you're bringing me in and then you're kicking me out again"", '', ""She's got a love like woe!"", '(Wo-oh, oh-oh ooh)', ""Girl's got a love like woe!"", '(Wo-oh, oh-oh ooh, ba-da-dah)', ""I kinda feel like it don't make sense"", ""'Cause you're bringing me in and now you're kicking me out again"", 'Love so strong, then you moved on', ""Now I'm hung up in suspense"", ""Because you're bringing me in and then you're kicking me out again (again... again...)""]"
172,Let Me See Ya GirlCole Swindell,"['[Verse 1]', 'Yeah, you got every guy in here', 'Spinning around spilling their beer', 'Bet you came out to have a good time', 'What you say you leave your friends with mine?', ""Oooh, ooh, yeah, they'll be alright"", 'Ooh, I just wanna see you shine', '', '[Chorus]', ""Girl you're tearing that dance floor up"", 'Let me see you do it in the bed of my truck', 'You sure know how to shake it alright', 'Let me see you do it in the Tennessee moonlight', ""Whoa, baby let's go down a little road nobody else knows"", 'Just me and you parked on the edge of the world', ""That's how I wanna see you girl"", 'Yeah, let me see you girl', '', '[Verse 2]', 'Whatcha think about taking that chance', 'Taking a ride, taking my hand', 'Kicking this crowd, ditching this club?', ""This night's been waiting on us"", 'Ooh, ooh, save your best moves, ooh, ooh', ""Yeah, 'til I get us where we're getting to"", '', '[Chorus]', ""Girl you're tearing that dance floor up"", 'Let me see you do it in the bed of my truck', 'You sure know how to shake it alright', 'Let me see you do it in the Tennessee moonlight', ""Whoa, baby let's go down a little road nobody else knows"", 'Just me and you park on the edge of the world', ""That's how I wanna see you girl"", '', '[Bridge]', 'I can see you getting my tailgate rocking', 'Moving your hips like wind moves cotton', 'You can get the whole wide country side hopping', '', '[Pre-Chorus]', 'Bring the beat back', 'Aw, come on with me girl', '', '[Chorus]', ""Yeah, you're tearing that dance floor up"", 'Let me see you do it in the bed of my truck', 'You sure know how to shake it alright', 'Let me see you do it in the Tennessee moonlight', ""Whoa, baby let's go down a little road nobody else knows"", 'Just me and you park on the edge of the world', ""That's how I wanna see you girl"", 'Yeah, let me see you girl', 'Come on come on come on, let me see you girl']"
173,La GrangeZZ Top,"['[Verse 1]', ""Rumor spreadin' a-'round in that Texas town"", ""'bout that shack outside La Grange"", ""And you know what I'm talkin' about"", 'Just let me know if you wanna go', 'To that home out on the range', 'They gotta lotta nice girls ah', '', '[Chorus]', 'Have mercy', 'A-haw haw haw-haw', 'Heh, A-haw haw haw', '', '[Verse 2]', ""Well, I hear it's fine if you got the time"", 'And the ten to get yourself in', 'A hmm, hmm', ""And I hear it's tight most every night"", 'But now I might be mistaken', 'Hmm, hmm, hmm', '', '[Chorus]', 'Ah have mercy', '', '[Instrumental Outro]']"
174,Greenwood MississippiLittle Richard,"['[Verse 1]', ""Well I've been on the road"", 'For a long time', 'Met a lot of women', 'Had to leave them all behind', 'Because I want to go back', 'To the land I love', 'Where Magnolia smells sweet', 'And white cotton is warm', '', '[Chorus]', 'Take me on back', 'Back to the country', 'Take me on down, down', 'Greenwood Mississippi', '', '[Verse 2]', 'Old farmer John', 'He lives down the road', 'Works in the fields', 'Carrying a heavy load', ""He don't have to worry"", 'About a thing', 'Because evryday now', 'You can hear him sing', '', '[Chorus]']"
175,Drunk GirlChris Janson,"['[Verse 1]', 'Couple cover charge stamps got her hand looking like a rainbow', 'In and out of every bar on a whim just like the wind blows', ""She's either a bachelorette or coming off a breakup"", 'Take a drunk girl home', '', ""She's bouncing like a pinball"", 'Singing every word she never knew', ""Dancing with her eyes closed like she's the only one in the room"", ""Her hair's a perfect mess, falling out of that dress"", 'Take a drunk girl home', '', '[Chorus]', 'Take a drunk girl home', 'Let her sleep all alone', 'Leave her keys on the counter your number by the phone', 'Pick up her life she threw on the floor', 'Leave the hall lights on walk out and lock the door', ""That's how she knows the difference between a boy and man"", 'Take a drunk girl home', '', '[Verse 2]', 'You leave her drive for a dive and you get something bad to eat', 'They\'re singing ""Closing Time"" at that little bar across the street', 'In two by twos, strangers and lovers headed for the covers, hooking up', 'That TV in your two bedroom sounds turned off', 'And through the paper-thin walls, you can hear the neighbor’s cigarette cough', ""There's a million things you could be doing, but there's one thing you're damn sure glad you did"", '', '[Chorus]', 'Take a drunk girl home', 'Let her sleep all alone', 'Leave her keys on the counter your number by the phone', 'Pick up her life she threw on the floor', 'Leave the hall lights on walk out and lock the door', ""That's how ya know the difference between a boy and man"", 'You take a drunk girl home', '', '[Chorus 2]', 'You took a drunk girl home', 'In the sober light of dawn', 'She left you a message she thanks you on the phone', ""'Cause you picked up her life she threw on the floor"", 'You left the hall lights on walked out and locked the door', ""That's how she knows the difference between a boy and man"", 'Take a drunk girl home', '', 'You take a drunk girl home', 'Take a drunk girl home']"
176,Hard To LoveLee Brice,"['[Verse 1]', 'I am insensitive, I have a tendency to', 'Pay more attention to the things that I need', 'Sometimes I drink to much, sometimes I test your trust', ""Sometimes I don't know why you're staying with me"", '', '[Chorus]', ""I'm hard to love, hard to love,  no I don't make it easy"", ""Well I couldn't do it if I stood where you stood"", ""I'm hard to love, hard to love, and you say that you need me"", ""I don't deserve it but I love that you love me good"", '', '[Verse 2]', 'I am a short fuse, I am a wrecking ball', 'Crashing into your heart like I do', ""You're like a Sunday morning, full of grace and full of Jesus"", 'I wish that I could be more like you', '', '[Chorus]', ""I'm hard to love, hard to love, no I don't make it easy"", ""Well I couldn't do it if I stood where you stood"", ""I'm hard to love, hard to love and you say that you need me"", ""I don't deserve it but I love that you love me good"", 'Love me good', '', '[Bridge]', ""Girl you've given me a million second chances"", ""And I don't ever wanna take you for granted"", ""I'm just a man, I'm just a man"", '', '[Chorus]', ""Hard to love, hard to love, no I don't make it easy"", ""I couldn't do it if I stood where you stood"", ""I'm hard to love, hard to love and you say that you need me"", ""I don't deserve it but I love that you love me"", ""Hard to love, hard to love, no I don't make it easy"", ""I couldn't do it if I stood where you stood"", ""I'm hard to love, hard to love and you say that you need me"", ""I don't deserve it but I love that you love me"", 'Good', '', '[Outro]', 'You love me good']"
177,Heartspark DollarsignEverclear,"['Time stops when the whispers blare', 'The voices drop hard, but the eyes still stare', ""The world resolves into a death's head grin"", 'Because I walk with pride with a black girlfriend', '', 'My mom said not to bring her around', ""'Cause she's black, my family would put her down"", ""I'll break the white-trash ties that bind"", 'Trade a love so pure for a hate so blind', '', 'She said, she said', '""Forget the fact that I don\'t look like you.""', 'She said, she said', '""You\'re possessed with a power bigger than the pain.""', '', 'Time stops when we lie so close', 'In my room where we share what no one knows', 'From the day that we start until the day that we end', 'I know, I know, I know now', 'We will never find a place where we could just fit in', 'Me and my black girlfriend', '', 'She said, she said', '""Fend for yourself. You\'re alone.""', 'She said, she said', '""You\'re possessed with a power bigger than the pain.""', '', 'Oh, a power bigger than the pain', 'A power bigger than the pain', 'Heartspark dollarsign', 'Heartspark dollarsign']"
178,I Threw It All AwayBob Dylan,"['I once held her', 'In my arms', 'She said she would', 'Always stay', 'But I was cruel', 'I treated her like a fool', '', 'I threw it all away', '', 'Once I had mountains', 'In the palm of my hand', 'And rivers that ran through', 'Every day', 'But I must have been mad', 'I never knew what I had', '', 'Until I threw it all away', '', 'Love is all there is', 'It makes the world go ’round', 'Love and only love', 'It can’t be denied', 'No matter what you think about it', 'You just won’t be able to do without it', 'Take a tip from one who’s tried', '', 'So if you find someone', 'Who gives you all of her love', 'Take it to your heart, don’t let it stray', 'For one thing for certain', ""You will surely be a-hurtin'"", '', 'If you throw it all away', 'If you throw it all away']"
179,I Can't Tell The Bottom From The TopThe Hollies,"[""And every time I get to thinkin'"", 'With every thought of you, I wanna shout aloud', 'And then I think about the love I had inside me', ""How you brought what's inside out"", '', ""So now love's made it to the outside"", ""I wanna tell the world of everything I've found"", 'Somehow your love released a spring wound up inside me', ""You've turned my living upside-down"", '', ""And I can't tell the bottom from the top"", 'Am I standing on my head or on my heels?', 'Is it cloudy is it bright?', 'Is it day or is it night?', 'Am I wrong or am I right?', 'And is it real?', '', 'Tell me where you learned the magic', 'The spell you used the day you made me fall', 'Baby, now I know that love is no illusion', ""I'm upside-down but ten feet tall"", '', ""And I can't tell the bottom from the top"", 'Am I standing on my head or on my heels?', 'Is it cloudy is it bright?', 'Is it day or is it night?', 'Am I wrong or am I right?', 'And is it real?', '', 'On and on I drifted with the tide', ""I didn't know that love could move me so"", 'You filled my life with love and much more besides', 'And you showed me which way to go', '', ""And I can't tell the bottom from the top"", 'Am I standing on my head or on my heels?', 'Is it cloudy is it bright?', 'Is it day or is it night?', 'Am I wrong or am I right?', 'And is it real?', '', ""And I can't tell the bottom from the top"", 'Am I standing on my head or on my heels?', 'Is it cloudy is it bright?', 'Is it day or is it night?', 'Am I wrong or am I right?', 'And is it real?']"
180,I Love YouPeople,"['I love you, I love you, I love you, yes I do', ""But the words won't come & I don't know what to say"", '', 'I should tell you, I love you, I do', ""My words should explain, but my words won't come"", ""I shouldn't hide my love deep inside"", ""My words should explain, but my words won't come"", ""I should tell you just how I feel, & I keep tryin'"", 'But something holds me back when I try to tell you', '', 'CHORUS:', 'I love you, I love you, I love you, yes I do', 'I love you, I love you, I love you, yes I do', ""But the words won't come & I don't know what to say"", '', 'If I can find the words in my mind', ""The words could explain, but the words won't come"", 'If you can see what you mean to me', ""My words should explain, but my words won't come"", '& oh how hard I try to tell you I love you', 'But something holds me back when I try to tell you', '', '(chorus)', '(instrumental)', '', ""& I don't know what to say"", '& oh how hard I try to tell you I love you', 'But something holds me back when I try to tell you', '', '(chorus x2; 2nd time, minus last line)']"
181,How Country FeelsRandy Houser,"['[Verse 1]', 'You were raised on an asphalt farm', ""Ain't never heard a rooster crow"", 'Never walked barefoot by a river', 'Felt the mud up between your toes', '', '[Bridge]', 'You never rolled in the hay', 'You never thrown it in four wheel', 'Climb up on in here girl', 'Let me show you how country feels', '', '[Chorus]', 'Let your hair down, hair down', 'Get you some of this laid on back', ""Kick your shoes off, kick 'em off"", 'Get you some of this slow down fast', ""I'll take you up and down these hollers and hills"", 'Let me show you how country feels', '', '[Verse 2]', 'Never watched the sun go down', 'From the bed of a pickup truck', 'Ever been so into somebody', ""You're still lying there when it comes back up"", '', '[Bridge]', 'Girl what do you say?', 'Cut a path through that cornfield', 'Park down by the water', 'Let me show you how country feels', '', '[Chorus]', 'Let your hair down, hair down', 'Get you some of this laid on back', ""Kick your shoes off, kick 'em off"", 'Get you some of this slow down fast', ""I'll take you up and down these hollers and hills"", 'Let me show you how country feels', '', 'Let your hair down', 'Get you some of this laid on back', 'Kick your shoes off', '', '[Chorus]', 'Let your hair down, hair down', 'Get you some of this laid on back', ""Kick your shoes off, kick 'em off"", 'Get you some of this slow down fast', ""I'll take you up and down these hollers and hills"", 'Let me show you how', 'Country feels', '', 'Country feels']"
182,One Last TimeGlen Campbell,"['One last time let me love you one last time', 'All I need is one more chance to say goodbye', ""One last kiss then I swer I'll let you go baby I need you I've got to see you"", 'One more night stay with me till tomorrow', ""Just tonight let's pretend that tomorrow will never come (baby I need you)"", ""One last time loving you before the end I can't face never seeing you again"", ""One last look in your eyes to know we're through baby I need you I've got to see you"", 'One more night stay with me till tomorrow', ""Just tonight let's pretend that tomorrow will never come"", ""Baby I need you (one last time) I've got to see you (one last time)"", 'Baby I need you (one last time) baby I need you (one last time)', 'Baby I want you (one last time) baby I want you (one last time)', 'Baby I want you (one last time) baby I want you (one last time)']"
183,My MariaBrooks & Dunn,"['[Verse 1]', ""My Maria, don't you know I've come a long, long way"", ""I been longin' to see her, when she's around she takes my blues away"", 'Sweet Maria, the sunlight surely hurts my eyes', ""I'm a lonely dreamer on a highway in the skies"", '', '[Chorus]', 'My Maria (Oh, Maria, I love you girl) (Oh, my Maria)', 'Maria (Oh, Maria, I love you, girl)', '(Maria) I love you', '', '[Verse 2]', 'My Maria, there were some blue and sorrow times', 'Just my thoughts about you bring back, my peace of mind', ""Gypsy lady, you're a miracle work for me"", 'You set my soul free like a ship sailing on the sea', '', '[Bridge]', 'She is the sunlight when skies are grey', 'She treats me so right lady take me away', '', '[Chorus]', 'My Maria (Oh, Maria, I love you girl) (Oh, my Maria)', 'Maria (Oh, Maria, I love you, girl)', '(Maria) I love you', '', 'My Maria (Oh, Maria, I love you girl) (Oh, my Maria)', 'Maria (Oh, Maria, I love you, girl)', '(Maria) I love you', '', 'My Maria (Oh, Maria, I love you girl) (Oh, my Maria)', 'Maria (Oh, Maria, I love you, girl)', '(Maria) I love you']"
184,Mr. MisunderstoodEric Church,"['[Verse 1]', 'Hey there, weird kid in your high-top shoes', 'Sitting in the back of the class; I was just like you', 'Always left out, never fit in', ""Owning that path you're walking in"", 'Mr. Misunderstood, Mr. Misunderstood', '', '[Verse 2]', 'Now, your buddies get their rocks off on Top 40 radio', ""But you love your daddy's vinyl, old-time rock and roll"", 'Elvis Costello, Ray Wylie Hubbard', 'And think Jeff Tweedy is one bad mother', 'Mr. Misunderstood, Mr. Misunderstood', '', '[Chorus]', ""One day you'll lead the charge, you'll lead the band"", ""Guitar Hero with lightnin' hands"", 'And the girls will like your tattoos and the veins in your arms', ""They'll be helpless to your musical charms"", ""And they'll all hold up their hands"", ""They'll all wanna dance"", 'Mr. Misunderstood, Mr. Misunderstood', '', '[Verse 3]', 'First time I met Alabama Hannah, I was skinny as a rail', 'Red hair tied up in a blue bandanna', ""She was hotter than the Devil's hell"", 'She turned me on to Back Porch Pickers', 'Jackson Pollock, and gin', ""Her daddy didn't trust my intentions"", ""So he turned to his daddy's old .410"", ""I'm Mr. Misunderstood, Mr. Misunderstood"", '', '[Chorus]', 'Had an axe to grind, so off I went', 'Mad at the sun for coming up again', 'I lost religion, found my soul in the blues', 'Rubbed the velvet off my blue suede shoes', 'Yeah, everybody held up their hands', 'And every soul on Beale Street danced', 'With Mr. Misunderstood, Mr. Misunderstood', '', '[Verse 4]', 'So I went with it like a colt on my Plymouth', 'Through the glass behind my rear-view', 'Took a left when the world went right down 16th Avenue', 'Played with fire and I played on ledges', 'Every circus, stage, and county fair', 'They tried to file my points, sand my edges', 'And I just grew out my hair', ""I'm Mr. Misunderstood, I'm Mr. Misunderstood"", '', '[Chorus]', ""They're standing in line, chasing the buzz"", 'Til the next big things and already was', ""And hell if they know what they're trying to find"", ""If it ain't that same old, been-done kind"", 'Yeah, gives the head-scratchers fits', 'Wondering how in the hell they missed', ""I'm Mr. Misunderstood, Mr. Misunderstood"", '', '[Verse 5]', 'Hey there, weird kid in your high-top shoes', 'Sitting in the back of the class; I was just like you', 'Mr. Misunderstood (I understand)', 'Mr. Misunderstood (I understand)', 'Mr. Misunderstood (I understand)', 'Mr. Misunderstood (I understand)', 'Mr. Misunderstood (I understand)', ""I'm Mr. Misunderstood (let's go out of here)"", '', '[Outro]', 'Na na na na-na, na na na na-na', 'Na na na na-na na (I understand)', 'Na na na na-na, na na na na-na', 'Na na na na-na na (I understand)', 'Na na na na-na, na na na na-na', 'Na na na na-na na (I understand)', 'Na na na na-na, na na na na-na', 'Na na na na-na na (I understand...)', 'Na na na na-na, na na na na-na', 'Na na na na-na na', 'Na na na na-na, na na na na-na', 'Na na na na-na na']"
185,I Like It Like ThatHot Chelle Rae Featuring New Boyz,"['[Verse 1: Ryan Follese]', ""Let's get it on"", ""Yeah, y'all can come along"", 'Everybody drinks on me', 'Bought out the bar', ""Just to feel like I'm a star"", ""Now I'm thanking the Academy"", 'Missed my ride home', 'Lost my iPhone', ""I wouldn't have it any other way"", ""If you're with me let me hear you say"", '', '[Chorus: Ryan Follese]', 'I like it like that', ""Hey, windows down, chillin' with the radio on"", 'I like it like that', ""Damn, sun's so hot, make the girls take it all off"", 'I like it like that', 'Yeah, one more time, I can never get enough', 'Oh, everybody', 'Sing it right back, I like it like that', '(I like it like that, I like it like that)', '', '[Verse 2: Ryan Follese]', 'Till the break of the dawn', 'Yeah, party on the lawn', 'Whistle as the girls walk by', 'If the cops roll up (so what?)', 'Pour the cops a cup', ""'Cause everybody's here tonight"", 'Call a taxi', 'Pack the back seat', ""I wouldn't have it any other way"", ""If you're with me let me hear you say"", '', '[Chorus: Ryan Follese]', 'I like it like that', ""Hey windows down, chillin' with the radio on"", 'I like it like that', ""Damn, sun's so hot, make the girls take it all off"", 'I like it like that', 'Yeah, one more time, I can never get enough', 'Oh, everybody', 'Sing it right back, I like it like that', '', '[Post-Chorus: Ryan Follese]', 'Oh oh oh oh, like', 'Oh oh oh oh, like', 'Oh oh oh oh, sing it right back, I like it like that', '', '[Verse 3: New Boyz]', 'Oh the homie brought the booze', ""I like it like that 'cause the girls playin' beer pong in the back"", ""We havin' fun partying til the break of dawn"", ""Go grab a cup I dunno what people waitin' on"", ""And I'm gonna want a girl that I know I can take home"", 'In the zone, where I think I had lost my phone', ""You can tell by looking in the party's straight crack"", ""And don't worry 'bout it girls cause I like it like"", '', '[Verse 4: New Boyz]', ""I'm max faded at my grandma's house"", ""And leave your clothes over there, that's grandma couch"", ""I be filmin' her friends too, yeah I'm back on that"", ""Double D chicks huggin', I got racks on racks"", ""Like, I don't want the luxuries of a superstar"", ""I'm just tryin' to chill with Miley at the hookah bar"", ""You like got tongues, I'll make your heart melt"", 'With the seat back, playin in the back, like', '', '[Chorus: Ryan Follese]', 'I like it like that', ""Hey, windows down, chillin' with the radio on"", 'I like it like that', ""Damn, sun's so hot, make the girls take it all off"", 'I like it like that', 'Yeah, one more time, I can never get enough', 'Oh, everybody', 'Sing it right back, if you like, like it like that', '', '[Chorus: Ryan Follese]', ""Hey, windows down, chillin' with the radio on"", 'I like it like that', ""Damn, sun's so hot, make the girls take it all off"", 'I like it like that', 'Yeah, one more time, I can never get enough', 'Oh, everybody', 'Sing it right back', 'I like it like that', '', '[Post-Chorus: Ryan Follese]', 'Oh oh oh oh like that', 'Like oh oh oh oh like that', 'Like oh oh oh oh', 'Everybody, sing it right back', 'I like it like that']"
186,For Me And My GalFreddy Cannon,"[""Ah, the bells are ringin'"", 'For me and my gal', ""Ah, the birds are singin'"", 'For me and\u2005my\u2005gal', '', ""Everybody is knowin'"", ""Ah,\u2005to a weddin' they're goin'"", ""And for\u2005weeks they've been sewin'"", 'Every Susie and Sal', '', ""Ah, they're congregatin'"", 'For me and my gal', ""The parson's waitin'"", 'For me and my gal', '', 'And someday', ""I'm gonna build a little home for two"", 'For three or four or more', 'Ah, in Loveland for me and my gal', '', 'Yeah, whoa', '', ""Ah, they're congregatin'"", 'For me and my gal', ""Ah, the parson's waitin'"", 'Ah, for me and my gal', '', 'Yes, someday', ""I'm gonna build a little home for two"", 'For three or four or more', 'Ah, in Loveland for me and my gal', '', 'Woooh, whoa', '', 'Come on, pretty baby, whoa']"
187,Hangin' OnChris Young,"['[Verse 1]', ""I'm a few drinks in, but that ain't the reason"", ""I'm all tongue-tied and my breath's leaving this fast"", ""I can't get past"", 'Those blue eyes shining', 'They keep drawing me in to you', ""Got me fallin' off track"", 'You get me like that', '', '[Chorus]', ""Yeah, I'm hangin' on, hangin' on"", 'To every word you say', 'Every move you make', ""I'm hangin' on, hangin' on"", ""Wondering what's up next"", ""Girl, I can't wait"", ""Ain't nothing like spinning you around the room"", 'Where everyone can see', ""You hangin' on, hangin' on to me"", '', '[Verse 2]', ""It ain't the song, and it ain't the playlist"", ""It's every smile coming off of your sweet lips, yeah"", 'That makes me wanna stay here', ""No, this ain't a one night, one time thing"", ""You always light me up like a flame and it's clear"", ""Every time you're near"", '', '[Chorus]', ""Yeah, I'm hangin' on, hangin' on"", 'To every word you say', 'Every move you make', ""I'm hangin' on, hangin' on"", ""Wondering what's up next"", ""Girl, I can't wait"", ""Ain't nothing like spinning you around the room"", 'Where everyone can see', ""You hangin' on, hangin' on to me"", ""Yeah, you hangin' on to me"", '', '[Bridge]', 'So let me pull you a little closer', ""Even when the music's over"", '', '[Chorus]', ""I'll be hangin' on, hangin' on"", 'To every word you say', 'Every move you make', ""I'm hangin' on, hangin' on"", ""Wondering what's up next"", ""Girl, I can't wait"", ""Ain't nothing like spinning you around the room"", 'Where everyone can see', ""You hangin' on, hangin' on to me"", ""Yeah, you hangin' on to me""]"
188,More Than MilesBrantley Gilbert,"['[Verse 1]', 'Maybe I should take that picture off the dashboard', 'Before her memory hits the brakes and takes the wheel', ""Yeah, I bet she's still crying on that front porch"", ""Yeah, this time it's gonna take some time to heal"", '', '[Chorus]', ""'Cause I'm on my way to Tennessee"", 'Singing ""Georgia On My Mind""', ""Chasing what they say's a dream"", ""Thinking maybe it ain't mine"", ""'Cause that girl's in every song I sing"", ""She's in every song I write"", ""And that six string ridin' in her seat"", ""Won't keep me warm tonight"", 'God what am I supposed to do', ""There's more than miles in my rear view"", '', '[Verse 2]', ""Well, I'm headed north to what I swore I wanted"", 'And trying not to buy into my doubts', ""But I just can't seem to keep myself from wondering"", ""Why I'm jealous of all them headlights headed south"", '', '[Chorus]', ""'Cause I'm on my way to Tennessee"", 'Singing ""Georgia On My Mind""', ""Chasing what they say's a dream"", ""Thinking maybe it ain't mine"", ""'Cause that girl's in every song I sing"", ""She's in every song I write"", ""And that six string ridin' in her seat"", ""Won't keep me warm tonight"", 'God what am I supposed to do', ""There's more than miles in my rear view"", '', '[Verse 3]', 'Yeah, more than miles', ""Yeah, I've been changing lanes without my mirrors"", 'Cause every time I look behind me I see her', 'I think I just realized how much I need her', '', '[Chorus]', 'So I’m turning back for Georgia', 'Stopping short of Tennessee', 'I can’t put my dreams before her', 'Man, I need her with me', 'Cause that girl’s in every song I sing', 'She’s in every song I write', ""And that six string ridin' in her seat"", 'Can sleep in the back tonight', 'Now I know what I’m supposed to do, yeah', 'There’s still more than miles in my rear view', '', '[Outro]', 'More than miles, yeah', 'More than miles']"
189,I Don't Know How To Love HimHelen Reddy,"['[Verse 1]', ""I don't know how to love him"", 'What to do, how to move him', ""I've been changed, yes really changed"", ""In these past few days when I've seen myself"", 'I seem like someone else', '', ""I don't know how to take this"", ""I don't see why he moves me"", ""He's a man, he's just a man"", ""And I've had so many men before"", 'In very many ways', ""He's just once more"", '', '[Chorus]', 'Should I bring him down?', 'Should I scream and shout?', 'Should I speak of love', 'Let my feelings out?', ""I never thought I'd come to this"", ""What's it all about"", '', '[Verse 2]', ""Don't you think it's rather funny"", 'I should be in this position', ""I'm the one who's always been"", ""So calm, so cool, no lover's fool"", 'Running every show', 'He scares me so', '', '[Chorus]', '', '[Outro]', 'Yes, if he said he loved me', ""I'd be lost, I'd be frightened"", ""I couldn't cope, just couldn't cope"", ""I'd turn my head, I'd back away"", ""I wouldn't want to know"", 'He scares me so', 'I want him so', 'I love him so']"
